toidINS;sprincp;sprincp.raw;cconac;w;type;idINS
1976211402;400;92;4711x;6;alim;r200N2280400E3952400
1976211402;479;479;4711x;6;alim;r200N2280400E3952400
1976811402;112;112;4711x;6;alim;r200N2280400E3953600
1975811397;68;68;4711x;6;alim;r200N2279400E3951600
1963111333;120;1060;4711x;6;alim;r200N2266600E3926200
1963511332;1684;1684;4711x;6;alim;r200N2266400E3927000
1963011334;1252;1252;4711x;6;alim;r200N2266800E3926000
1953211609;400;120;4711x;6;alim;r200N2321800E3906400
1953311614;2028;2028;4711x;6;alim;r200N2322800E3906600
1953511613;60;60;4711x;6;alim;r200N2322600E3907000
1953411611;35;35;4711x;6;alim;r200N2322200E3906800
1953211608;1254;1254;4711x;6;alim;r200N2321600E3906400
1953311611;45;45;4711x;6;alim;r200N2322200E3906600
1953311614;350;350;4711x;6;alim;r200N2322800E3906600
1959711352;14012;14012;4711x;6;alim;r200N2270400E3919400
1959811351;2500;167;4711x;6;alim;r200N2270200E3919600
1959811341;62;62;4711x;6;alim;r200N2268200E3919600
1959811340;67;67;4711x;6;alim;r200N2268000E3919600
1959811340;21;21;4711x;6;alim;r200N2268000E3919600
1959511305;120;231;4711x;6;alim;r200N2261000E3919000
1958911338;120;782;4711x;6;alim;r200N2267600E3917800
1958611346;400;793;4711x;6;alim;r200N2269200E3917200
1959811342;50;50;4711x;6;alim;r200N2268400E3919600
1959811340;120;100;4711x;6;alim;r200N2268000E3919600
1958611345;2000;2000;4711x;6;alim;r200N2269000E3917200
1959911337;120;150;4711x;6;alim;r200N2267400E3919800
1959611343;60;60;4711x;6;alim;r200N2268600E3919200
1959811352;2500;1825;4711x;6;alim;r200N2270400E3919600
1959011301;120;132;4711x;6;alim;r200N2260200E3918000
1959911341;45;45;4711x;6;alim;r200N2268200E3919800
1960011350;187;187;4711x;6;alim;r200N2270000E3920000
1952111562;90;90;4711x;6;alim;r200N2312400E3904200
1967111345;33;33;4711x;6;alim;r200N2269000E3934200
1967811340;100;100;4711x;6;alim;r200N2268000E3935600
1967711341;53;53;4711x;6;alim;r200N2268200E3935400
1966911344;250;250;4711x;6;alim;r200N2268800E3933800
1967111344;3476;3476;4711x;6;alim;r200N2268800E3934200
1967111345;65;65;4711x;6;alim;r200N2269000E3934200
1967511343;400;1078;4711x;6;alim;r200N2268600E3935000
1967111345;45;45;4711x;6;alim;r200N2269000E3934200
1962311471;50;50;4711x;6;alim;r200N2294200E3924600
1962311471;400;45;4711x;6;alim;r200N2294200E3924600
1962311471;27;27;4711x;6;alim;r200N2294200E3924600
1962411469;98;98;4711x;6;alim;r200N2293800E3924800
1962111472;120;160;4711x;6;alim;r200N2294400E3924200
1962311471;150;150;4711x;6;alim;r200N2294200E3924600
1962411467;400;200;4711x;6;alim;r200N2293400E3924800
1972411279;30;30;4711x;6;alim;r200N2255800E3944800
1972411279;120;53;4711x;6;alim;r200N2255800E3944800
1972411278;20;20;4711x;6;alim;r200N2255600E3944800
1972411278;140;140;4711x;6;alim;r200N2255600E3944800
1972411278;250;250;4711x;6;alim;r200N2255600E3944800
1972411278;120;17;4711x;6;alim;r200N2255600E3944800
1972511280;49;49;4711x;6;alim;r200N2256000E3945000
1972411280;43;43;4711x;6;alim;r200N2256000E3944800
1972811278;30;30;4711x;6;alim;r200N2255600E3945600
1972511286;29;29;4711x;6;alim;r200N2257200E3945000
1972511286;29;29;4711x;6;alim;r200N2257200E3945000
1972811282;43;43;4711x;6;alim;r200N2256400E3945600
1972811282;30;30;4711x;6;alim;r200N2256400E3945600
1972611282;120;323;4711x;6;alim;r200N2256400E3945200
1972611281;30;30;4711x;6;alim;r200N2256200E3945200
1972511285;65;65;4711x;6;alim;r200N2257000E3945000
1972511285;50;50;4711x;6;alim;r200N2257000E3945000
1972511285;45;45;4711x;6;alim;r200N2257000E3945000
1972511283;120;150;4711x;6;alim;r200N2256600E3945000
1972611282;120;363;4711x;6;alim;r200N2256400E3945200
1972511285;49;49;4711x;6;alim;r200N2257000E3945000
1972511286;39;39;4711x;6;alim;r200N2257200E3945000
1972411283;120;156;4711x;6;alim;r200N2256600E3944800
1972311256;46;46;4711x;6;alim;r200N2251200E3944600
1972411254;400;2695;4711x;6;alim;r200N2250800E3944800
1972111244;400;100;4711x;6;alim;r200N2248800E3944200
1972111244;92;92;4711x;6;alim;r200N2248800E3944200
1972311243;287;287;4711x;6;alim;r200N2248600E3944600
1972711243;56;56;4711x;6;alim;r200N2248600E3945400
1972711243;263;263;4711x;6;alim;r200N2248600E3945400
1977311271;537;537;4711x;6;alim;r200N2254200E3954600
1977311271;400;45;4711x;6;alim;r200N2254200E3954600
1976711265;20;20;4711x;6;alim;r200N2253000E3953400
1978011272;240;240;4711x;6;alim;r200N2254400E3956000
1977611272;35;35;4711x;6;alim;r200N2254400E3955200
1978211272;52;52;4711x;6;alim;r200N2254400E3956400
1977411263;20;20;4711x;6;alim;r200N2252600E3954800
1924311679;50;50;4711x;6;alim;r200N2335800E3848600
1925411456;45;45;4711x;6;alim;r200N2291200E3850800
1925411456;26;26;4711x;6;alim;r200N2291200E3850800
1925511456;20;12;4711x;6;alim;r200N2291200E3851000
1925811462;400;279;4711x;6;alim;r200N2292400E3851600
1925811461;400;248;4711x;6;alim;r200N2292200E3851600
1925511463;1276;1276;4711x;6;alim;r200N2292600E3851000
1925411463;400;0;4711x;6;alim;r200N2292600E3850800
1925611457;47;47;4711x;6;alim;r200N2291400E3851200
1925411462;120;307;4711x;6;alim;r200N2292400E3850800
1926411538;980;980;4711x;6;alim;r200N2307600E3852800
1926511526;2500;2944;4711x;6;alim;r200N2305200E3853000
1926511526;400;61;4711x;6;alim;r200N2305200E3853000
1926611520;70;70;4711x;6;alim;r200N2304000E3853200
1926911522;120;767;4711x;6;alim;r200N2304400E3853800
1923811777;1359;1359;4711x;6;alim;r200N2355400E3847600
1923811777;400;214;4711x;6;alim;r200N2355400E3847600
1923311772;38;38;4711x;6;alim;r200N2354400E3846600
1923311772;28;28;4711x;6;alim;r200N2354400E3846600
1923311770;47;47;4711x;6;alim;r200N2354000E3846600
1923911761;2500;1324;4711x;6;alim;r200N2352200E3847800
1923911761;2500;55;4711x;6;alim;r200N2352200E3847800
1923911761;2500;25;4711x;6;alim;r200N2352200E3847800
1923911761;2500;100;4711x;6;alim;r200N2352200E3847800
1923511768;23;23;4711x;6;alim;r200N2353600E3847000
1923811768;31;31;4711x;6;alim;r200N2353600E3847600
1933711601;25;25;4711x;6;alim;r200N2320200E3867400
1933811601;150;150;4711x;6;alim;r200N2320200E3867600
1933611600;120;257;4711x;6;alim;r200N2320000E3867200
1933611600;39;39;4711x;6;alim;r200N2320000E3867200
1933511601;42;42;4711x;6;alim;r200N2320200E3867000
1933611600;60;60;4711x;6;alim;r200N2320000E3867200
1933611600;120;135;4711x;6;alim;r200N2320000E3867200
1933611599;120;258;4711x;6;alim;r200N2319800E3867200
1933911601;70;70;4711x;6;alim;r200N2320200E3867800
1934211597;31;31;4711x;6;alim;r200N2319400E3868400
1933811595;70;70;4711x;6;alim;r200N2319000E3867600
1934611589;2500;17;4711x;6;alim;r200N2317800E3869200
1932011586;120;1000;4711x;6;alim;r200N2317200E3864000
1931911590;103;103;4711x;6;alim;r200N2318000E3863800
1931511591;2500;2051;4711x;6;alim;r200N2318200E3863000
1931711603;400;180;4711x;6;alim;r200N2320600E3863400
1931711603;22;22;4711x;6;alim;r200N2320600E3863400
1933411596;986;986;4711x;6;alim;r200N2319200E3866800
1934011602;50;50;4711x;6;alim;r200N2320400E3868000
1933811585;500;628;4711x;6;alim;r200N2317000E3867600
