IRIS;km_pa;f_i;co2_i;n;snv;ind;tx;prix;dens
131170104;4370.560053232805;1080.7327634320561;935.424513489635;7;15998.517196200459;3053;0.027897369350142753;2925.453608247423;38.597598694002
131170105;4832.6888004558;674.6886311178387;659.8173571702873;8;21194.37384696017;1908;0.009592889065111576;3131.2075718015667;21.08401972243246
131170106;4250.164704182358;410.9039476467363;348.0973697780288;2;20921.06008583691;1165;9.901057965233662e-4;2599.7774480712164;51.36299345584204
131170107;4675.265100269318;872.560996439641;795.4270357979627;6;19305.40497472194;2472.5;-0.0011227165622742508;2676.24073017684;36.35670818498504
131170108;5867.8242076525285;904.2577500646454;1099.3567417926358;13;23220.72702015261;2555.5;0.03714584106851815;3805.534407935524;17.389572116627797
131170109;6130.356509415522;768.8732218544606;992.213955968034;18;25145.856886227542;2171;0.01698193504028378;3696.9723691945915;10.678794747978618
131170110;6164.749872556806;1037.3381902558817;1347.8669461072893;25;26259.066143076663;2928.5;0.015192483843546212;3647.5803906836964;10.373381902558817
131170111;4436.915367924832;325.4529845541164;281.3262353873117;10;17358.960086767896;922;NA;2826.470588235294;8.136324613852912
131170112;6510.945670385026;70.33577330025265;95.45689480679215;10;25508.550753768843;199;0.01229528177414796;3927.6978417266187;1.7583943325063165
131170202;5314.060189646412;700.9017880198085;785.066177932248;18;24171.693205354888;1979.5;0.015133189582739792;3840.141818181818;9.734747055830672
131170203;4757.027007564204;868.7941994406413;861.4947656078199;15;22358.712418566774;2456;0.0244888351656376;3542.316260162602;14.479903324010687
131170204;5297.0288859409375;587.5155432099207;656.8345884131481;16;24852.82157926462;1659;0.023758837714699332;3847.2854640980736;9.17993036265501
131170205;5539.659684393283;832.554150575884;974.2920996968645;51;22723.792647683807;2353;0.020427997934415743;4246.217802088513;4.081147796940608
131170207;9001.906544552328;40.63016515572785;76.22292119781561;23;19906.194782608694;115;NA;3636.3636363636365;0.4416322299535636
131170208;3935.6382008337205;683.6422900177071;552.491741187832;10;21823.178497409328;1930;0.02542210609227258;3691.898774983881;17.091057250442677
131170209;3544.1083205368946;901.4717215634025;645.3794655969376;15;19920.241686274512;2550;0.021009835661204512;3913.684822076979;15.024528692723376
131180000;7902.108606659506;1478.3919909209242;2484.356848591238;86;27597.277387191614;3911.5;0.020660501877571624;4634.1181905065305;4.297651136398035
131190101;5184.129541934989;711.3651651112668;766.0145061638901;28;26783.104091144483;1931;0.004667769042858705;5649.131075110457;6.351474688493454
131190102;5212.874081274093;819.7219155044767;862.2250534514482;10;20612.699526707234;2218.5;0.010301421032538283;3278.4691501746215;20.49304788761192
131190103;5694.744964862943;965.9576657221438;1161.2846641264841;38;28597.691620325986;2607.5;0.02829169441756374;5264.42469352014;6.354984642908841
132010101;1584.2696890141508;661.8813999944946;91.20839259150337;4;15816.653299492385;1773;0.026680622487016414;3019.6977401129943;41.36758749965591
132010102;1396.353254319108;566.2320717788423;42.523585241141014;1;12858.011495016612;1505;0.015502169113628561;2520.3586497890296;141.55801794471057
