fromidINS	km_i	co2_i	f_i	km_pa	co2_pa	com
r200N2257200E3945000	225546.66788659684	10.897698899715316	139.35124722256091	1618.547895207363	0.07820309553677954	13203
r200N2287800E3945400	9693.32156290214	1.786577893468499	0.8591012493668202	11283.095642156693	2.079589448607196	13001
r200N2284000E3945600	24048.618537126218	5.124351529336042	3.1333839808220976	7674.966963613775	1.6354049043142105	13032
r200N2284600E3945600	40626.22000148605	8.481813898528268	5.0288934488349915	8078.560505372736	1.6866163470799307	13032
r200N2284800E3945600	92882.04689902916	19.633149670041206	17.33025178456112	5359.532455366536	1.1328831175743015	13032
r200N2286200E3946000	27236.81226964826	5.535720350660434	2.689056740552256	10128.76071334017	2.0586104663316083	13001
r200N2278200E3946400	7551.728410625347	1.5154874553860407	0.7543328014437742	10011.136193695313	2.0090435580760047	13001
r200N2272000E3946600	89829.99975269717	18.886846279595154	12.932414119104248	6946.112220455183	1.4604269632608498	13019
r200N2254400E3946800	601667.8300191653	61.52947898090047	400.88412852396556	1500.8522094263867	0.15348444750718568	13205
r200N2254800E3946800	615604.0080556646	59.20888503644985	443.29713689304873	1388.6938507436992	0.13356478106632746	13204
r200N2250800E3947000	78859.21554996225	10.998890711493646	27.883096529606888	2828.2086771183317	0.39446446343628944	13209
r200N2251200E3947000	281662.18996948673	37.81349749861768	127.84174243749104	2203.2098796463692	0.2957836523317633	13209
r200N2271600E3947400	7500.783016350587	1.5887672574623866	0.8099058503684472	9261.302425384736	1.9616690714601148	13015
r200N2273800E3947400	9775.149343796862	1.9109948098085034	1.131499186216613	8639.113012959355	1.6889051561745132	13001
r200N2257200E3947600	433094.5754646383	60.97497240104224	204.8365487382908	2114.342279892546	0.29767623393687836	13213
r200N2286400E3947600	15849.039159643211	2.9973420072115995	1.572786754086526	10077.042624159389	1.905752321110089	13001
r200N2286800E3947600	4567.241575824222	0.8502512273141131	0.3911355264841907	11676.87736493255	2.1738020960580764	13001
r200N2280600E3947800	53193.28085825721	10.418297193509881	5.629557750965205	9448.927111394685	1.850642209278985	13001
r200N2281400E3948000	48023.02003954678	9.739880319305911	5.196514834748546	9241.389963600586	1.8743101153442994	13001
r200N2249000E3948600	762293.4378448371	130.9072012379671	219.48538304803412	3473.0943229964887	0.5964278778843245	13209
r200N2279600E3948600	47857.38344208091	9.694221145186932	5.151115227747081	9290.683924966685	1.8819655000082085	13001
r200N2280600E3948600	153848.63728552219	29.949818825532027	21.903589530753624	7023.9006747963285	1.3673475200711342	13001
