IRIS	km_pa	f_i	co2_i	n	snv	ind	tx	prix	shape	dens
130130000	8541.822801422173	793.799904074656	1453.537245866816	88	28402.880560043082	1857	0.030395822773762182	4362.7822671156	autre	2.2551133638484546
130140101	6821.572765724432	921.4954983541154	1271.2052569924417	16	18417.778879223144	2471.5	1.9615629207381247e-4	2952.558479532164	autre	14.398367161783053
130140102	6303.249587624859	861.836415956025	1120.4995622114996	13	20213.38296392873	2301	0.018270055369710825	2351.9829424307036	autre	16.573777229923557
130140103	6291.14925180798	1195.0314062063394	1542.065525549191	18	18704.683218318696	3188	0.014129165709606317	2171.5608180839613	autre	16.59765841953249
130140104	6564.166314710311	1112.589991304954	1519.0589533231166	35	20767.04259757739	2972	0.00953850236784004	3515.3156146179404	autre	7.947071366463957
130140105	8207.81954509895	79.41340884425351	133.34881347885957	22	20854.831767337808	223.5	NA	2572.289156626506	autre	0.9024251005028808
130140106	9012.336031182667	779.9532223905627	1484.6733014851443	243	22872.181196581194	2223	0.007484804979246862	4478.2282282282285	autre	0.8024210106898794
130150101	6453.34451464796	1126.8190577841256	1526.9822921062491	130	27372.32504959423	2772.5	0.05606481029213328	5577.815714285714	autre	2.166959726507934
130150102	6073.51607211341	1146.1601217355742	1480.7381965817615	29	30932.567227191415	2795	0.02405831004910941	5233.532731376975	autre	9.880690704617018
130150103	5992.674878233552	1334.724567837106	1684.937147826219	45	28719.813372271747	3253	0.04266300524421007	5022.335882352941	autre	7.415136487983922
130150104	5849.553065209708	966.4951444311009	1183.9516803288666	43	28940.38985138004	2355	0.03002794653150631	5493.578595317726	autre	5.619157816459889
130150105	5823.46161945534	1473.018582907569	1797.4056013134666	75	30454.808246563935	3601.5	0.020312814305371463	6671.628919860627	autre	4.91006194302523
130160000	6945.3545118112415	2389.036060198566	3502.173481910741	168	26418.692235718976	6092	0.019966572780733438	3817.4602332979853	autre	3.555113184819294
130190101	6117.835169767467	749.4957705422701	972.8170933404728	41	31804.256186395283	1867	0.030759350400235697	6556.827586206897	autre	4.57009616184311
130190102	6178.144357079272	1943.1616587422398	2534.4788356170525	183	29657.998896495348	4893.5	0.02387851270581387	5061.8890675241155	autre	2.6545924299757373
130190103	6029.512354133607	1343.4348120437237	1713.1350740686341	107	31351.762479413086	3339.5	0.01939705665760627	4930.820178448867	autre	3.138866383279728
130200000	6834.629137445174	915.5774764155574	1318.4918820924454	40	25647.066461673625	2276.5	0.025093596419268005	5675.872093023256	autre	5.722359227597234
130210101	7230.764491355274	655.3023263841969	995.0052573907433	30	29721.16305732484	2276.5	0.027465756356823467	5215.742397137746	autre	5.460852719868308
130210102	7460.0362485414435	628.1995821054458	982.8334463888589	25	31222.59170295668	2181.5	0.008751112276649486	5606.626659856997	autre	6.2819958210544575
130210103	8007.64090872939	609.0535303553589	1041.5552816628083	45	30597.719221642146	2107	0.021811922497649627	5545.693196405648	autre	3.3836307241964385
130220101	5813.632174513551	408.2286580717472	473.8380959715042	22	25614.542279708974	1237	0.047947547676373325	11186.361111111111	autre	4.6389620235425815
130220102	5601.232881795676	628.7180492627591	723.2980886920376	23	28439.646734475376	1868	0.02444815621537444	9412.794064516129	autre	6.8338918398125985
