CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
76116;1336;2871;20240;44.5;16;;;;;;;;21.5;67.6;60.9;2.8;3.9;33.8;7.1;6.9;2.1;3.2;1.6;-15.4;11610;35490;3.1
76117;1418;3290;23010;55.7;7.3;;;;;;;;;69.1;60.3;2.1;6.7;35.2;9.2;4;1.6;1.6;0.8;-17.5;14200;39630;2.8
76118;1372;3313;22150;50.6;9.8;;;;;;;;;74.9;69.2;2.6;3.1;30.5;5.8;4.2;2.2;1.3;0.7;-15.4;13110;34540;2.6
76119;1573;3410;23920;56.6;9.3;;;;;;;;;65.2;52.2;2.1;10.9;38.8;14.1;2.9;1.1;1.2;0.6;-21;13280;47620;3.6
76120;1545;3438;21390;50.4;10.8;;;;;;;;20.7;61.4;52.4;2.4;6.6;38.9;11.9;4;1.6;1.6;0.8;-16.2;12930;36720;2.8
76121;1556;3603;19990;41.3;14.6;;;;;;;;29.8;68.1;59.9;2.8;5.4;26.6;15.7;5.6;2.4;1.9;1.3;-16;11940;32430;2.7
76122;1885;3688;20590;47.3;15.8;;;;;;;;23.7;62.3;55.1;2.5;4.7;40;8.3;6;1.6;2.9;1.5;-16.6;11370;36160;3.2
76123;1692;4114;22000;48.7;9.2;;;;;;;;16.3;76.6;66.9;2.6;7.1;25.7;8.3;5.1;2.6;1.5;1;-15.7;13390;35730;2.7
76124;1774;3946;21740;51.3;10.5;;;;;;;;19.6;69.7;62.5;2.6;4.6;33.7;7.7;4.9;1.9;1.9;1.1;-16;12970;35780;2.8
76125;1844;3790;21520;49.8;12.9;;;;;;;;23.7;69.4;62.4;3.4;3.6;33.5;8.8;5;1.7;2;1.3;-16.7;11840;37310;3.2
76126;2170;4367;19160;40.8;16.9;;;;;;;;28.1;55.4;49;3;3.4;42.6;9.6;7.1;2.2;3.2;1.7;-14.7;11170;31520;2.8
76127;2190;4665;18990;40.1;16.8;;23.8;21.2;;;;;30;66.4;61.4;3.6;1.4;34.3;3.9;8.5;2.7;3.8;2;-13.1;11170;29980;2.7
76201;2201;5082;20060;44;11.6;;;;;;;6.6;23.5;66.3;59.6;2.6;4.1;35.1;6.2;6.4;2.6;2.5;1.3;-14;12500;30420;2.4
76202;2483;4869;19020;40;18.9;;26.3;;;;;;31;53.3;47.5;2.3;3.5;42.8;9.4;8.5;2.3;3.9;2.3;-14;10830;31770;2.9
76203;2397;5628;24040;57.4;5.3;;;;;;;;11.4;74.4;67;2.4;5;29;10.6;3.7;1.8;1.2;0.7;-17.7;14700;38580;2.6
76204;3518;7050;19240;41.2;17.3;;24.6;19.1;18.4;12.6;;7.9;26.9;58.5;52.7;3.1;2.7;40.2;7.5;7.4;2.3;3.3;1.8;-13.6;11240;30270;2.7
76205;3766;9701;21760;52.6;9.1;;;9.5;;;;5.7;20.9;78.7;69.8;2.9;6;25.3;6.5;4.5;2.5;1.3;0.7;-15;13290;34050;2.6
76301;6980;14697;20940;45.6;13.8;19.8;15.1;18;14.6;9.7;;5;23.7;67.8;61;2.8;4;32.4;9.1;6.6;2.1;2.9;1.6;-15.9;11910;35020;2.9
76302;7462;17356;19250;39.7;17.5;26.4;19.9;20.8;18.4;9.7;;5.9;33.7;68.7;62.3;3.5;2.9;30.4;5.3;9.2;3.2;3.8;2.2;-13.6;11190;31650;2.8
76303;8589;19554;20780;46.2;12.9;20.5;15.6;14.3;11.8;9.7;;5;24.7;73.6;68.3;3.1;2.2;29.9;4.8;6.6;2.6;2.5;1.5;-14.9;12230;32970;2.7
76401;9424;19193;18990;41.4;18.8;33.7;28.1;22.4;19.5;9.2;;5.5;30.2;60;52.3;3.6;4.1;38.2;7.6;8.9;2.4;4.3;2.2;-14.7;10790;32060;3
76402;9255;21644;20530;47.4;15.1;25.8;17.1;18.6;13.6;9.5;;5;28.7;71;65.5;3;2.5;31.3;6.2;6.8;2.8;2.4;1.6;-15.3;11610;35120;3
76403;17790;35247;18660;41.4;22.1;35;33.7;28.7;21.2;12.2;9.1;6.4;33.7;58.9;51.3;3.1;4.5;39;7.2;9.9;2.4;4.9;2.6;-15;10180;33000;3.2
76701;101987;223568;20540;49.2;17.8;30.5;23.1;20.4;16.3;11.1;8.2;5;31.8;71;63.1;3.3;4.6;30.9;7;8;2.6;3.4;2;-16.9;10830;36140;3.3
