COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;7531;Tulle;CHAR;4
CODGEO;Code géographique;Code géographique;7532;Villeneuve-sur-Lot;CHAR;4
CODGEO;Code géographique;Code géographique;7601;Agde-Pézenas;CHAR;4
CODGEO;Code géographique;Code géographique;7602;Albi;CHAR;4
CODGEO;Code géographique;Code géographique;7603;Alès-Le Vigan;CHAR;4
CODGEO;Code géographique;Code géographique;7604;Auch;CHAR;4
CODGEO;Code géographique;Code géographique;7605;Bagnols-sur-Cèze;CHAR;4
CODGEO;Code géographique;Code géographique;7606;Béziers;CHAR;4
CODGEO;Code géographique;Code géographique;7607;Cahors;CHAR;4
CODGEO;Code géographique;Code géographique;7608;Carcassonne-Limoux;CHAR;4
CODGEO;Code géographique;Code géographique;7609;Castelsarrasin-Moissac;CHAR;4
CODGEO;Code géographique;Code géographique;7610;Castres-Mazamet;CHAR;4
CODGEO;Code géographique;Code géographique;7611;Figeac-Villefranche;CHAR;4
CODGEO;Code géographique;Code géographique;7612;Foix-Pamiers;CHAR;4
CODGEO;Code géographique;Code géographique;7613;Mende;CHAR;4
CODGEO;Code géographique;Code géographique;7614;Millau;CHAR;4
CODGEO;Code géographique;Code géographique;7615;Montauban;CHAR;4
CODGEO;Code géographique;Code géographique;7616;Montpellier;CHAR;4
CODGEO;Code géographique;Code géographique;7617;Narbonne;CHAR;4
CODGEO;Code géographique;Code géographique;7618;Nîmes;CHAR;4
CODGEO;Code géographique;Code géographique;7619;Nord-du-Lot;CHAR;4
CODGEO;Code géographique;Code géographique;7620;Perpignan;CHAR;4
CODGEO;Code géographique;Code géographique;7621;Rodez;CHAR;4
CODGEO;Code géographique;Code géographique;7622;Saint-Gaudens;CHAR;4
CODGEO;Code géographique;Code géographique;7623;Sète;CHAR;4
CODGEO;Code géographique;Code géographique;7624;Tarbes-Lourdes;CHAR;4
CODGEO;Code géographique;Code géographique;7625;Toulouse;CHAR;4
CODGEO;Code géographique;Code géographique;8401;Annecy;CHAR;4
CODGEO;Code géographique;Code géographique;8402;Aubenas;CHAR;4
CODGEO;Code géographique;Code géographique;8403;Aurillac;CHAR;4
CODGEO;Code géographique;Code géographique;8404;Belley;CHAR;4
CODGEO;Code géographique;Code géographique;8405;Bourg en Bresse;CHAR;4
CODGEO;Code géographique;Code géographique;8406;Bourgoin-Jallieu;CHAR;4
CODGEO;Code géographique;Code géographique;8407;Chambéry;CHAR;4
CODGEO;Code géographique;Code géographique;8408;Clermont-Ferrand;CHAR;4
CODGEO;Code géographique;Code géographique;8409;Grenoble;CHAR;4
CODGEO;Code géographique;Code géographique;8410;Issoire;CHAR;4
CODGEO;Code géographique;Code géographique;8411;La Maurienne;CHAR;4
CODGEO;Code géographique;Code géographique;8412;La Plaine du Forez;CHAR;4
CODGEO;Code géographique;Code géographique;8413;La Tarentaise;CHAR;4
CODGEO;Code géographique;Code géographique;8414;La Vallée de l'Arve;CHAR;4
CODGEO;Code géographique;Code géographique;8415;Le Chablais;CHAR;4
CODGEO;Code géographique;Code géographique;8416;Le Genevois Français;CHAR;4
CODGEO;Code géographique;Code géographique;8417;Le Livradois;CHAR;4
CODGEO;Code géographique;Code géographique;8418;Le Mont Blanc;CHAR;4
CODGEO;Code géographique;Code géographique;8419;Le Puy en Velay;CHAR;4
CODGEO;Code géographique;Code géographique;8420;Les Sources de la Loire;CHAR;4
CODGEO;Code géographique;Code géographique;8421;Lyon;CHAR;4
CODGEO;Code géographique;Code géographique;8422;Montélimar;CHAR;4
CODGEO;Code géographique;Code géographique;8423;Montluçon;CHAR;4
CODGEO;Code géographique;Code géographique;8424;Moulins;CHAR;4
CODGEO;Code géographique;Code géographique;8425;Oyonnax;CHAR;4
CODGEO;Code géographique;Code géographique;8426;Roanne;CHAR;4
CODGEO;Code géographique;Code géographique;8427;Romans sur Isère;CHAR;4
CODGEO;Code géographique;Code géographique;8428;Saint Etienne;CHAR;4
CODGEO;Code géographique;Code géographique;8429;Saint Flour;CHAR;4
CODGEO;Code géographique;Code géographique;8430;Tarare;CHAR;4
CODGEO;Code géographique;Code géographique;8431;Valence;CHAR;4
CODGEO;Code géographique;Code géographique;8432;Vichy;CHAR;4
CODGEO;Code géographique;Code géographique;8433;Vienne-Annonay;CHAR;4
CODGEO;Code géographique;Code géographique;8434;Villefranche-sur-Saône;CHAR;4
CODGEO;Code géographique;Code géographique;8435;Voiron;CHAR;4
CODGEO;Code géographique;Code géographique;9301;Aix-en-Provence;CHAR;4
CODGEO;Code géographique;Code géographique;9302;Briançon;CHAR;4
CODGEO;Code géographique;Code géographique;9303;Brignoles;CHAR;4
CODGEO;Code géographique;Code géographique;9304;Cannes;CHAR;4
CODGEO;Code géographique;Code géographique;9305;Carpentras;CHAR;4
CODGEO;Code géographique;Code géographique;9306;Cavaillon;CHAR;4
CODGEO;Code géographique;Code géographique;9307;Digne-les-Bains;CHAR;4
CODGEO;Code géographique;Code géographique;9308;Draguignan;CHAR;4
CODGEO;Code géographique;Code géographique;9309;Fréjus;CHAR;4
CODGEO;Code géographique;Code géographique;9310;Gap;CHAR;4
CODGEO;Code géographique;Code géographique;9311;Manosque;CHAR;4
CODGEO;Code géographique;Code géographique;9312;Marseille;CHAR;4
CODGEO;Code géographique;Code géographique;9313;Martigues-Salon;CHAR;4
CODGEO;Code géographique;Code géographique;9314;Menton;CHAR;4
CODGEO;Code géographique;Code géographique;9315;Nice;CHAR;4
CODGEO;Code géographique;Code géographique;9316;Orange;CHAR;4
CODGEO;Code géographique;Code géographique;9317;Sainte-Maxime;CHAR;4
CODGEO;Code géographique;Code géographique;9318;Toulon;CHAR;4
CODGEO;Code géographique;Code géographique;9401;Ajaccio;CHAR;4
CODGEO;Code géographique;Code géographique;9402;Bastia;CHAR;4
CODGEO;Code géographique;Code géographique;9403;Calvi;CHAR;4
CODGEO;Code géographique;Code géographique;9404;Corte;CHAR;4
CODGEO;Code géographique;Code géographique;9405;Ghisonaccia;CHAR;4
CODGEO;Code géographique;Code géographique;9406;Porto-Vecchio;CHAR;4
CODGEO;Code géographique;Code géographique;9407;Propriano;CHAR;4
