CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
102;22819;52677;20120;45;16.4;22.9;21.1;19.8;15.6;11.6;6.8;7.9;33;68.4;58.6;3.1;6.7;31.2;9;6.8;2.8;2.4;1.6;-15.4;11310;33490;3
103;95867;209683;20500;47.2;16.4;28.9;21;18.8;15.4;10.5;7.7;5.6;33.6;69.3;58;3;8.3;30.4;10.1;7;2.4;2.8;1.8;-16.8;11140;36100;3.2
111;68929;151514;19440;40.8;20.2;30.1;24.9;23;20.5;14.3;15.2;10.6;37.1;63.8;54.3;3.4;6.1;34.3;9.2;8.1;2.5;3.6;2;-15.4;10350;33130;3.2
112;19278;39396;18620;35.4;22.5;33.9;28;26.3;25.6;17.7;15.1;14.9;38.6;53.6;43.2;3.3;7.1;42.2;10.3;7.8;1.9;3.9;2;-13.9;9770;31450;3.2
113;76725;160234;19210;40.2;20.7;34.5;26.2;24.4;21.7;14.2;14.1;11.8;36.2;58.4;47.8;3.7;6.9;39.2;10.1;7.7;2.2;3.6;1.9;-15.4;10200;33280;3.3
121;35720;76322;20000;40;15.3;22.3;17.6;17.8;14.9;11.6;13.8;10;29.9;62.8;49.8;2.7;10.3;34.9;11.3;5.7;2;2.4;1.3;-14.7;11490;33200;2.9
122;49430;104305;21510;48.8;12.4;19.8;13.8;13.4;12.2;8.8;12.1;7.3;25.2;65.9;55.7;2;8.2;33.2;13.1;4.7;1.8;1.8;1.1;-16.9;12210;36030;3
123;38589;82753;20210;40.9;14.7;21.7;17.3;16.3;15;10.6;14.3;9.8;30.1;60.6;50.5;2.3;7.8;37.9;10.5;5.5;2;2.3;1.2;-14.5;11590;32770;2.8
131;188905;437157;24690;59.6;10.9;18.9;11.6;11.5;11;8.7;8.3;5;20.8;77.1;68.4;3;5.7;26.8;12.9;3.9;1.5;1.5;0.9;-20.7;12680;45360;3.6
132;75672;174086;20410;45.8;18.6;24.3;20.4;20.8;18.8;15.8;14.3;9.1;31.6;69.4;58.5;3.7;7.2;29.2;13.2;6.1;2.2;2.4;1.5;-17.9;10580;36570;3.5
133;456928;1021617;20050;48.8;23.2;31.9;26.7;27.2;24.4;17.1;13.5;7.5;38;73.3;62.9;3.5;6.9;27.7;10.1;8.4;2.5;3.7;2.2;-19.5;9570;38540;4
134;140209;333435;21610;51.7;15;22.6;18;16.8;14.4;10.8;10.4;5.4;27.5;74.4;67;3.5;3.9;28.2;8;6.3;2.4;2.4;1.5;-16.9;11490;36780;3.2
141;31343;72275;21630;48.6;10.2;15.3;10;11.8;11.9;6.9;8.4;5.5;22.1;68;58.6;2.6;6.8;33.6;9;5.1;2.2;1.8;1.1;-15.7;12970;35300;2.7
142;162393;359753;21970;52.1;12.3;22.8;14.6;14.2;11.9;7.3;6.2;5;25;72.8;64.7;2.8;5.3;30.2;8.7;5.6;2.1;2.1;1.4;-17.3;12270;37390;3
143;72316;155623;21000;48.5;13.4;18.9;15.8;15.8;15;9.6;8.5;6.9;25.1;64.7;55.5;2.9;6.3;36.2;11.1;5.1;2;1.9;1.2;-17.1;12000;36560;3
144;30266;69778;20380;41.3;12.9;17.1;13.3;14.7;13.7;9.2;11.2;7.6;25.4;69;60.5;2.8;5.7;30.6;8.6;6;2.6;2.1;1.3;-14.2;12160;31940;2.6
151;37770;78844;21030;45.8;11.9;18;12;13.1;12;8.8;12.4;6.7;26.3;64.9;55.1;2;7.8;34.4;11.8;5.1;1.7;2.2;1.2;-16.2;12460;34780;2.8
152;11954;23755;19660;38.4;14.7;;14.6;16.5;15.1;11.8;15.8;11.3;25.3;57.5;44.5;2.1;10.9;40.1;11.4;5;1.6;2.3;1.1;-14;11760;32120;2.7
153;16645;34851;19880;39.7;14.4;15.5;13.8;15;15.4;12.1;16.2;11;24.2;61.7;47.7;2.2;11.8;35;12.6;5.2;1.9;2.2;1.1;-14.5;11750;32420;2.8
161;81149;173520;20790;46.3;15.2;26.6;19.1;17.2;14.7;9.8;10.4;6.8;32;67;58.9;3;5.1;33.8;8.5;6.6;2;2.9;1.7;-15.9;11400;34560;3
162;44549;96486;21410;48;12.7;19.3;15.6;14.1;12.7;8.4;10.9;7.2;26.9;68.9;57.5;2.7;8.7;31.8;10.8;5.2;1.8;2.2;1.2;-16.7;12160;36850;3
163;31698;66872;19330;37.3;17.8;24.5;18.8;19.2;18.9;14.3;17.1;13.5;33.3;58.6;49.3;2.6;6.7;38.9;10.3;6.1;2;2.8;1.3;-13.9;10810;31240;2.9
171;29825;64898;19620;39.3;16.3;21.2;18.7;18.2;16.4;11.7;16.9;11.2;30.4;63.2;49.6;3.1;10.5;35.4;10;6.1;2;2.7;1.4;-14.7;11350;33520;3
172;93476;193383;21240;48.4;12.6;20;16;15.6;14.5;8.5;8.4;7.4;25.1;55.7;46;3.1;6.6;44.4;11.8;4.8;1.6;2.1;1.1;-16.7;12190;35880;2.9
173;101042;215718;22650;54.2;11.1;20.9;13.2;13.1;12.1;6.9;6.2;5;22.5;66.3;56.8;3.1;6.4;35.8;11.5;4.9;1.7;2;1.2;-18.5;12640;39790;3.1
174;53283;116165;20870;45.5;12.7;19.3;14.5;14.7;13.7;8.6;11;7.8;26;62.8;52.6;3.1;7.1;37.5;9.8;5.5;2;2.3;1.2;-15.6;12190;34600;2.8
175;23504;50434;19480;38.4;16.2;23.8;18.7;18.8;18.5;11.3;13.1;11.2;31.5;59.6;47.5;3;9.1;38.4;10.3;6.3;2.1;2.8;1.4;-14.6;11220;32330;2.9
181;77584;166003;21630;51.3;13.3;22.2;16.5;15.2;12.9;9.2;8.4;5.9;29.5;68.6;60.1;2.4;6.1;33.4;8.9;5.9;2;2.5;1.4;-16.8;11920;36320;3
182;28716;59128;19810;40.4;16;21.9;19.7;19.3;18;11.6;11.1;10.2;32.8;58;49.5;2.7;5.8;40.9;8.7;6.5;2;3.1;1.4;-14.1;11300;31720;2.8
183;31507;67329;20230;43.8;15.6;25.8;21.3;18.9;15.5;10.2;8.4;7.7;35.1;62.7;55.2;2.8;4.7;36.9;8.6;6.8;2.2;3;1.6;-15;11340;32620;2.9
191;58679;124432;21120;48.3;12.8;20.2;15.8;13.5;12.4;9;11.7;7.3;25.9;65.8;57;2.6;6.2;35.8;9.8;5.1;1.9;2;1.2;-16.5;12200;35510;2.9
192;31803;65152;21050;46.4;13.2;21.5;16.6;15;13.2;8.5;12.6;8.3;27.8;60.6;51.7;2.4;6.5;40.9;9;4.7;1.7;1.9;1.1;-15.2;12030;33950;2.8
193;18261;37272;20280;44.7;14;19;15.8;16.1;14.6;10.5;12.4;9.6;25;61.4;53;2.4;6;38.4;9.9;5.2;1.9;2.1;1.2;-14.9;11890;32820;2.8
211;47748;107931;22700;54;9.2;12.9;10.4;10.2;9.4;6.8;7.7;5.5;20.2;73.1;60.6;2.3;10.2;28.7;12.6;3.9;1.8;1.3;0.8;-18.3;13330;39540;3
212;153546;332831;22680;56;11.5;20.9;13.5;12.9;11.2;7.2;6.4;5;25.3;74;66;2.5;5.5;30.2;9.2;5.1;2;1.8;1.3;-18.5;12500;38500;3.1
213;26960;56089;20480;44.5;13.8;17.1;16.4;17.6;16;9;9.6;8.7;27.5;62.5;52.7;2.5;7.3;37.2;9.8;5.4;1.9;2.3;1.2;-14.9;11810;33280;2.8
221;46062;102078;21530;47.1;10.3;15.7;10.9;12.3;10.6;6.8;10.1;6.4;23;64.8;55.3;3;6.5;36.6;9.6;4.8;2.1;1.7;1;-15.8;12940;35010;2.7
222;56479;121152;20330;41.6;14;18.1;15.3;16.5;15.2;10;12;9.4;29.9;61.4;50.9;2.8;7.7;38.8;8.6;5.9;2.3;2.3;1.3;-14.7;11850;32690;2.8
223;46929;98419;21620;49.2;11.6;20.7;14.8;13.9;12.6;7.3;9;7.1;26.6;58.3;48.9;2.6;6.8;43.6;10;4.7;1.7;1.9;1.1;-16.6;12510;36640;2.9
224;120547;267724;21400;48.1;11.3;18.6;13.4;13.2;10.8;7.1;9.3;5.8;26.9;67.8;58.1;2.7;7;33.8;9.5;5.3;2.2;1.9;1.2;-16.4;12620;34750;2.8
231;20667;40949;18570;35.7;20.5;23.6;23.8;23.8;22.9;15.8;18.6;16.1;33.6;55.2;43.4;2.7;9.1;41.9;9.9;6.4;1.8;3.2;1.4;-13.4;10270;30740;3
232;34490;69207;19880;42;17.6;25.7;20.8;20.8;18.5;11.8;16.5;11.9;34.4;58.9;49.9;2.6;6.4;41.1;8.7;6.1;1.8;2.9;1.4;-14.8;10790;32500;3
241;46162;98020;19940;42.4;17.2;23.6;20.6;21.7;18.6;12;13;11.1;32.2;57.8;48.1;3.1;6.6;41;10.4;6.1;2;2.6;1.5;-15.3;11070;33760;3
242;25057;51152;19640;38.3;17.4;20.6;18.8;19.7;19.1;13.6;17.1;13.4;30.9;55.5;46.2;2.6;6.7;43.7;9.9;4.8;1.5;2.2;1.1;-13.9;10890;32120;2.9
243;79092;166540;20520;44.5;15.1;25.5;18;16.6;16.2;10.8;11.6;8.5;30;62.8;54.5;2.9;5.4;37.7;9.3;5.8;1.9;2.5;1.4;-15.6;11440;34000;3
244;37036;76812;19840;41.6;17.1;23.5;20.5;20.7;18.4;12.3;15;12.3;29.9;56.5;46.3;3.3;6.9;41.7;11.5;5.2;1.7;2.3;1.2;-14.9;10960;33510;3.1
251;105272;230220;21940;52;13.7;27.8;17.2;15.2;12;8.2;7.8;5;29.4;73.1;64.7;2.7;5.7;29.5;9.1;6;2.2;2.3;1.5;-17.7;11750;37540;3.2
252;75269;170814;21300;49.4;13.8;20.3;16.8;16.8;13.2;9.6;8.3;5.9;30.1;72.4;65.3;3.2;3.9;30.8;6.4;6.2;2.4;2.4;1.4;-15.8;11930;36560;3.1
253;48735;114920;26960;63.9;6.4;7.5;5.8;6.1;6.2;6.4;8.1;5;14.2;90.5;82.2;3.2;5.1;18.5;7.7;2.9;1.4;0.9;0.6;-19.6;14720;48060;3.3
261;29765;66700;20710;43.9;14.4;19;17.5;17;15.6;9.8;9.2;8.7;28;65.3;53.9;3.9;7.5;32.6;12.2;5.6;2.2;2.1;1.3;-15.7;11660;34470;3
262;63583;141458;20970;47.2;16.2;22.2;19.5;20.2;16;12.2;9.9;8.7;30.6;65.7;56;3.2;6.5;33.5;12.1;5.7;2.2;2.1;1.4;-17;11180;37190;3.3
263;125608;287684;21250;48.2;14.2;20.7;16.3;17;14.2;9.8;9.1;6.4;29.3;70.9;62.4;3.2;5.3;29.2;10.4;6.1;2.5;2.1;1.5;-16.6;11670;36340;3.1
271;94059;228307;21870;53.2;12.7;19.7;15.9;14.4;12.1;8.2;7.1;5.3;27.3;75;67.9;3.2;3.9;28.1;7.6;5.8;2.5;2.1;1.2;-16.5;12120;36270;3
