IRIS;DEC_PIMP18;DEC_TP6018;DEC_Q118;DEC_MED18;DEC_Q318;DEC_EQ18;DEC_D118;DEC_D218;DEC_D318;DEC_D418;DEC_D618;DEC_D718;DEC_D818;DEC_D918;DEC_RD18;DEC_S80S2018;DEC_GI18;DEC_PACT18;DEC_PTSA18;DEC_PCHO18;DEC_PBEN18;DEC_PPEN18;DEC_PAUT18;DEC_NOTE18
381850601;45.6;36.8;8680;17060;24480;0.93;3890;7300;10490;14080;20000;23020;26780;33270;8.5;10.3;0.368;51.6;47.3;3.2;1.1;46.2;2.2;0
381850602;53.9;20.3;14970;22510;31680;0.74;7340;12960;16600;19710;26190;30170;35180;42930;5.9;6.9;0.333;55.2;49;2.9;3.3;39.6;5.2;0
381850604;;74.3;2920;7640;13260;1.35;0;1660;4170;5640;9340;11750;15320;21070;;52.8;0.482;64.1;55.5;7.6;1;35;0.9;0
381850605;32.4;52.5;5440;12140;20180;1.21;940;4360;6790;9390;15100;18240;22240;28420;30.2;22.6;0.43;62.6;54.9;5.8;1.9;35.9;1.5;0
381850606;50.6;28;11940;19580;29460;0.89;4580;9240;13440;16310;23440;27680;32560;43240;9.4;11.3;0.383;52.5;46.2;2.5;3.8;44.2;3.3;0
381850607;37.5;46.6;6700;14730;22560;1.08;1970;5350;8340;11000;17710;20800;24880;32370;16.4;15.6;0.411;63.2;57.4;5.1;0.7;35.4;1.4;0
381850608;44;39.4;8490;16630;24450;0.96;3400;6930;9910;13150;19760;22610;26720;33780;9.9;11.6;0.381;78.6;72.9;4.1;1.6;19.7;1.7;0
381850609;23.7;62.3;5260;9960;17240;1.2;660;4030;6320;8140;11870;14890;19610;24990;37.9;21.8;0.438;59.5;52.1;5.4;2;39.8;0.7;0
381850610;;64.5;5100;9110;15600;1.15;2210;4420;5850;7590;11510;14320;16890;21060;9.5;11.7;0.396;67.8;;;;31.6;0.6;0
381930101;41.6;35.6;10240;17130;24380;0.83;5660;9100;11520;14350;20200;22570;26740;33010;5.8;7.4;0.342;88.6;81.9;4.8;1.9;9.9;1.5;0
381930102;31.2;48.6;7090;13370;20330;0.99;1800;5580;8430;10770;16010;18530;22410;27810;15.4;13.6;0.386;80.8;73.7;6;1.1;18.2;1;0
381930105;60.8;15.7;16250;24570;34110;0.73;9410;14350;17780;21880;27490;31700;36980;47000;5;6.4;0.332;87.5;80.6;2.6;4.3;9.5;3;0
381930106;60.3;16;16180;23940;31320;0.63;10450;14530;17890;21310;26490;29660;33840;41520;4;4.8;0.285;85.7;80;3.2;2.5;12.2;2.1;0
