CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
432;4939;11668;19980;44.3;17.8;;21.7;20.3;18.9;14;;10.6;32.4;66.7;57.9;3.8;5;34.1;8.3;6.5;2.6;2.6;1.3;-15.6;10590;32760;3.1
433;4794;11160;19760;37.7;13.1;;14.3;13.8;13.9;10.7;;8.3;26.1;67.5;58.5;2.8;6.2;32.2;8.2;6.1;2.8;2;1.3;-14;12140;31290;2.6
434;5695;11355;19380;37.3;18.1;;21.3;21.5;17.5;14.1;18.6;12.9;33.4;54.1;46.2;2.4;5.5;44.5;10.3;5;1.5;2.3;1.2;-13.9;10930;31280;2.9
435;5398;10902;19350;39.7;18.4;;23.2;21.7;17.5;13.4;16.8;12.6;34.4;58.6;49.4;2.8;6.4;40.2;9.3;6.6;1.9;3.2;1.5;-14.7;10690;32810;3.1
436;5547;11693;20370;42.2;12;;;15.6;13.9;8.4;;7.2;27.5;60.7;53.1;2.3;5.3;40.8;8.3;4.7;1.7;2;1;-14.5;12360;32070;2.6
437;4853;11503;20230;42.9;14.2;;17.7;15.7;13.9;9;;9.2;27.6;66.8;58.1;3.6;5.1;31.5;9.3;6.7;2.8;2.5;1.4;-14.3;11810;32440;2.7
438;4551;11103;22680;51.7;8;;8.9;8.6;;;;5;16.8;79.6;70.3;2.7;6.6;22.2;9.8;4.7;2.6;1.3;0.8;-16.3;13700;38970;2.8
439;5381;11299;20060;42.7;13.7;;14.6;19.7;15.8;9.2;;9.1;26.2;57.6;45.8;3.3;8.5;42.9;9.1;5.5;1.8;2.4;1.3;-15.1;11920;32020;2.7
440;5019;11183;18430;35.9;21.5;31.1;24.7;26.8;21;12.4;19.6;13.1;36.1;64.5;54.6;3.7;6.2;31.9;8.3;9;2.6;4.3;2.1;-13.7;10280;31540;3.1
441;5279;11091;20060;39.1;12.9;;;13.3;15.3;9.3;14.3;8.4;23.7;61.4;51.9;1.8;7.7;37;10.2;5.3;1.9;2.1;1.3;-13.9;12150;31550;2.6
442;5208;10881;20460;44.6;12.9;;15.9;15.6;14.6;9;;6.4;28.1;62.9;54.3;2.6;6;37.5;8.5;5.6;1.9;2.5;1.2;-14.5;12080;32640;2.7
443;5429;11561;17550;33;27.1;41.9;32.3;32.9;28.6;20.2;15.7;15.4;44;58.2;47.2;4.2;6.8;36.7;9.4;10;2.8;4.6;2.6;-14.3;9360;31190;3.3
444;6500;12095;23040;55.6;9.9;;;14.1;14.8;5.7;;5.6;20.7;44.4;36.8;2.6;5;55.6;16.1;3.2;0.9;1.5;0.8;-19.3;13080;41600;3.2
445;4753;10952;20130;44.3;16.7;;20.6;19.3;17;10.9;;8.6;32.9;69.9;59.4;3.8;6.7;31.8;7.2;6.5;2.4;2.7;1.4;-15.4;11130;31970;2.9
446;5164;10563;21340;47.7;13.1;;15.7;14.1;15;10.6;;6.6;29.1;64.2;55.9;2.5;5.8;38.7;8;5.1;1.7;2.2;1.2;-16;12050;35350;2.9
447;4625;10656;19680;37.5;12.5;;12;13.9;11.8;9.1;15.2;8.6;28.6;65.9;56.5;2.4;7;32.8;9.6;5.4;2.6;1.8;1;-13.7;12350;29930;2.4
448;4765;10082;20570;45.2;15.4;;19.7;19.4;14.2;9.9;;7.1;33;63.1;56.6;2.5;4;36.9;8.6;6.5;2.2;2.8;1.5;-15.1;11320;33060;2.9
449;4955;10641;20190;42.9;14.8;;18.6;15.4;14.8;11.1;;8.7;30.7;63.1;53.9;2.4;6.8;35.6;9.8;5.9;2.1;2.5;1.3;-14.4;11500;32600;2.8
