COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;03203;Commentry;CHAR;5
CODGEO;Code géographique;Code géographique;03401;Moulins;CHAR;5
CODGEO;Code géographique;Code géographique;03501;Montluçon;CHAR;5
CODGEO;Code géographique;Code géographique;03502;Vichy;CHAR;5
CODGEO;Code géographique;Code géographique;04101;Aiglun;CHAR;5
CODGEO;Code géographique;Code géographique;04102;Gréoux-les-Bains;CHAR;5
CODGEO;Code géographique;Code géographique;04103;Peyruis;CHAR;5
CODGEO;Code géographique;Code géographique;04104;Volx;CHAR;5
CODGEO;Code géographique;Code géographique;04105;Valensole;CHAR;5
CODGEO;Code géographique;Code géographique;04106;Barcelonnette;CHAR;5
CODGEO;Code géographique;Code géographique;04107;Les Mées;CHAR;5
CODGEO;Code géographique;Code géographique;04108;Villeneuve;CHAR;5
CODGEO;Code géographique;Code géographique;04201;Forcalquier;CHAR;5
CODGEO;Code géographique;Code géographique;04202;Oraison;CHAR;5
CODGEO;Code géographique;Code géographique;04203;Château-Arnoux-Saint-Auban;CHAR;5
CODGEO;Code géographique;Code géographique;04204;Sisteron;CHAR;5
CODGEO;Code géographique;Code géographique;04301;Digne-les-Bains;CHAR;5
CODGEO;Code géographique;Code géographique;04401;Manosque;CHAR;5
CODGEO;Code géographique;Code géographique;05101;L'Argentière-la-Bessée;CHAR;5
CODGEO;Code géographique;Code géographique;05102;Tallard;CHAR;5
CODGEO;Code géographique;Code géographique;05103;Chorges;CHAR;5
CODGEO;Code géographique;Code géographique;05104;Guillestre;CHAR;5
CODGEO;Code géographique;Code géographique;05105;Veynes;CHAR;5
CODGEO;Code géographique;Code géographique;05106;Laragne-Montéglin;CHAR;5
CODGEO;Code géographique;Code géographique;05201;Embrun;CHAR;5
CODGEO;Code géographique;Code géographique;05301;Briançon;CHAR;5
CODGEO;Code géographique;Code géographique;05401;Gap;CHAR;5
CODGEO;Code géographique;Code géographique;06101;Breil-sur-Roya;CHAR;5
CODGEO;Code géographique;Code géographique;06102;L'Escarène;CHAR;5
CODGEO;Code géographique;Code géographique;06103;Saint-Martin-du-Var;CHAR;5
CODGEO;Code géographique;Code géographique;06104;Roquebillière;CHAR;5
CODGEO;Code géographique;Code géographique;06105;Saint-Vallier-de-Thiey;CHAR;5
CODGEO;Code géographique;Code géographique;06106;Sospel;CHAR;5
CODGEO;Code géographique;Code géographique;06107;Saint-Cézaire-sur-Siagne;CHAR;5
CODGEO;Code géographique;Code géographique;06108;Levens;CHAR;5
CODGEO;Code géographique;Code géographique;06501;Menton-Monaco (partie française);CHAR;5
CODGEO;Code géographique;Code géographique;06701;Nice;CHAR;5
CODGEO;Code géographique;Code géographique;07101;Lavilledieu;CHAR;5
CODGEO;Code géographique;Code géographique;07102;Lamastre;CHAR;5
CODGEO;Code géographique;Code géographique;07103;Lalevade-d'Ardèche;CHAR;5
CODGEO;Code géographique;Code géographique;07104;Villeneuve-de-Berg;CHAR;5
CODGEO;Code géographique;Code géographique;07105;Cruas;CHAR;5
CODGEO;Code géographique;Code géographique;07106;Vallon-Pont-d'Arc;CHAR;5
CODGEO;Code géographique;Code géographique;07107;Le Cheylard;CHAR;5
CODGEO;Code géographique;Code géographique;07108;Viviers;CHAR;5
CODGEO;Code géographique;Code géographique;07109;Chomérac;CHAR;5
CODGEO;Code géographique;Code géographique;07110;Peaugres;CHAR;5
CODGEO;Code géographique;Code géographique;07111;Saint-Julien-en-Saint-Alban;CHAR;5
CODGEO;Code géographique;Code géographique;07112;Le Pouzin;CHAR;5
CODGEO;Code géographique;Code géographique;07113;Les Vans;CHAR;5
CODGEO;Code géographique;Code géographique;07114;Ruoms;CHAR;5
CODGEO;Code géographique;Code géographique;07201;Bourg-Saint-Andéol;CHAR;5
CODGEO;Code géographique;Code géographique;07202;La Voulte-sur-Rhône;CHAR;5
CODGEO;Code géographique;Code géographique;07203;Charmes-sur-Rhône;CHAR;5
CODGEO;Code géographique;Code géographique;07301;Privas;CHAR;5
CODGEO;Code géographique;Code géographique;07401;Annonay;CHAR;5
CODGEO;Code géographique;Code géographique;07402;Aubenas;CHAR;5
CODGEO;Code géographique;Code géographique;08101;Donchery;CHAR;5
CODGEO;Code géographique;Code géographique;08102;Monthermé;CHAR;5
CODGEO;Code géographique;Code géographique;08103;Rocroi;CHAR;5
CODGEO;Code géographique;Code géographique;08104;Vireux-Wallerand;CHAR;5
CODGEO;Code géographique;Code géographique;08105;Carignan;CHAR;5
CODGEO;Code géographique;Code géographique;08106;Vouziers;CHAR;5
CODGEO;Code géographique;Code géographique;08201;Nouvion-sur-Meuse;CHAR;5
CODGEO;Code géographique;Code géographique;08202;Fumay;CHAR;5
CODGEO;Code géographique;Code géographique;08203;Bogny-sur-Meuse;CHAR;5
CODGEO;Code géographique;Code géographique;08204;Revin;CHAR;5
CODGEO;Code géographique;Code géographique;08205;Vrigne aux Bois;CHAR;5
CODGEO;Code géographique;Code géographique;08206;Nouzonville;CHAR;5
CODGEO;Code géographique;Code géographique;08207;Givet;CHAR;5
CODGEO;Code géographique;Code géographique;08208;Rethel;CHAR;5
CODGEO;Code géographique;Code géographique;08401;Sedan;CHAR;5
CODGEO;Code géographique;Code géographique;08501;Charleville-Mézières;CHAR;5
CODGEO;Code géographique;Code géographique;09101;Laroque-d'Olmes;CHAR;5
CODGEO;Code géographique;Code géographique;09102;Montgaillard;CHAR;5
CODGEO;Code géographique;Code géographique;09103;Mirepoix;CHAR;5
CODGEO;Code géographique;Code géographique;09104;La Tour-du-Crieu;CHAR;5
CODGEO;Code géographique;Code géographique;09105;Mazères;CHAR;5
CODGEO;Code géographique;Code géographique;09106;Saverdun;CHAR;5
CODGEO;Code géographique;Code géographique;09201;Tarascon-sur-Ariège;CHAR;5
CODGEO;Code géographique;Code géographique;09202;Lavelanet;CHAR;5
CODGEO;Code géographique;Code géographique;09203;Saint-Girons;CHAR;5
CODGEO;Code géographique;Code géographique;09301;Foix;CHAR;5
CODGEO;Code géographique;Code géographique;09401;Pamiers;CHAR;5
CODGEO;Code géographique;Code géographique;10101;Marigny-le-Châtel;CHAR;5
CODGEO;Code géographique;Code géographique;10102;Lusigny-sur-Barse;CHAR;5
CODGEO;Code géographique;Code géographique;10103;Vendeuvre-sur-Barse;CHAR;5
CODGEO;Code géographique;Code géographique;10104;Villenauxe-la-Grande;CHAR;5
CODGEO;Code géographique;Code géographique;10105;Saint-Lyé;CHAR;5
CODGEO;Code géographique;Code géographique;10106;Bar-sur-Seine;CHAR;5
CODGEO;Code géographique;Code géographique;10107;Brienne-le-Château;CHAR;5
CODGEO;Code géographique;Code géographique;10108;Arcis-sur-Aube;CHAR;5
CODGEO;Code géographique;Code géographique;10109;Aix-Villemaur-Pâlis;CHAR;5
CODGEO;Code géographique;Code géographique;10201;Bar-sur-Aube;CHAR;5
CODGEO;Code géographique;Code géographique;10202;Nogent-sur-Seine;CHAR;5
CODGEO;Code géographique;Code géographique;10301;Romilly-sur-Seine;CHAR;5
CODGEO;Code géographique;Code géographique;10601;Troyes;CHAR;5
CODGEO;Code géographique;Code géographique;11101;Argeliers;CHAR;5
CODGEO;Code géographique;Code géographique;11102;Canet;CHAR;5
CODGEO;Code géographique;Code géographique;11103;Palaja;CHAR;5
CODGEO;Code géographique;Code géographique;11104;Ouveillan;CHAR;5
CODGEO;Code géographique;Code géographique;11105;Pennautier;CHAR;5
CODGEO;Code géographique;Code géographique;11106;Vinassan;CHAR;5
CODGEO;Code géographique;Code géographique;11107;Sallèles-d'Aude;CHAR;5
CODGEO;Code géographique;Code géographique;11108;Rieux-Minervois;CHAR;5
CODGEO;Code géographique;Code géographique;11109;Bram;CHAR;5
CODGEO;Code géographique;Code géographique;11110;Conques-sur-Orbiel;CHAR;5
CODGEO;Code géographique;Code géographique;11111;Quillan;CHAR;5
CODGEO;Code géographique;Code géographique;11112;Cuxac-d'Aude;CHAR;5
CODGEO;Code géographique;Code géographique;11113;Saint-Nazaire-d'Aude;CHAR;5
CODGEO;Code géographique;Code géographique;11114;Espéraza;CHAR;5
CODGEO;Code géographique;Code géographique;11201;Gruissan;CHAR;5
CODGEO;Code géographique;Code géographique;11202;Sigean;CHAR;5
CODGEO;Code géographique;Code géographique;11203;Port-la-Nouvelle;CHAR;5
CODGEO;Code géographique;Code géographique;11204;Trèbes;CHAR;5
CODGEO;Code géographique;Code géographique;11205;Coursan;CHAR;5
CODGEO;Code géographique;Code géographique;11206;Villemoustaussou;CHAR;5
CODGEO;Code géographique;Code géographique;11207;Fleury;CHAR;5
CODGEO;Code géographique;Code géographique;11301;Lézignan-Corbières;CHAR;5
CODGEO;Code géographique;Code géographique;11302;Limoux;CHAR;5
CODGEO;Code géographique;Code géographique;11303;Castelnaudary;CHAR;5
CODGEO;Code géographique;Code géographique;11401;Carcassonne;CHAR;5
CODGEO;Code géographique;Code géographique;11501;Narbonne;CHAR;5
CODGEO;Code géographique;Code géographique;12101;Laissac-Sévérac l'Église;CHAR;5
CODGEO;Code géographique;Code géographique;12102;Valady;CHAR;5
CODGEO;Code géographique;Code géographique;12103;Baraqueville;CHAR;5
CODGEO;Code géographique;Code géographique;12104;Sébazac-Concourès;CHAR;5
CODGEO;Code géographique;Code géographique;12105;Sévérac d'Aveyron;CHAR;5
CODGEO;Code géographique;Code géographique;12106;Capdenac-Gare;CHAR;5
CODGEO;Code géographique;Code géographique;12201;Espalion;CHAR;5
CODGEO;Code géographique;Code géographique;12202;Saint-Affrique;CHAR;5
CODGEO;Code géographique;Code géographique;12301;Villefranche-de-Rouergue;CHAR;5
CODGEO;Code géographique;Code géographique;12302;Decazeville;CHAR;5
CODGEO;Code géographique;Code géographique;12401;Millau;CHAR;5
CODGEO;Code géographique;Code géographique;12402;Rodez;CHAR;5
CODGEO;Code géographique;Code géographique;13101;Saintes-Maries-de-la-Mer;CHAR;5
CODGEO;Code géographique;Code géographique;13102;Orgon;CHAR;5
CODGEO;Code géographique;Code géographique;13103;Mouriès;CHAR;5
CODGEO;Code géographique;Code géographique;13104;Fontvieille;CHAR;5
CODGEO;Code géographique;Code géographique;13105;Coudoux;CHAR;5
CODGEO;Code géographique;Code géographique;13106;Meyrargues;CHAR;5
CODGEO;Code géographique;Code géographique;13107;Maussane-les-Alpilles;CHAR;5
CODGEO;Code géographique;Code géographique;13108;Rognes;CHAR;5
CODGEO;Code géographique;Code géographique;13201;Cuges-les-Pins;CHAR;5
CODGEO;Code géographique;Code géographique;13202;Le Rove;CHAR;5
CODGEO;Code géographique;Code géographique;13203;La Roque-d'Anthéron;CHAR;5
CODGEO;Code géographique;Code géographique;13204;Ensuès-la-Redonne;CHAR;5
CODGEO;Code géographique;Code géographique;13205;Saint-Cannat;CHAR;5
CODGEO;Code géographique;Code géographique;13206;Le Puy-Sainte-Réparade;CHAR;5
CODGEO;Code géographique;Code géographique;13207;Carnoux-en-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;13208;Sénas;CHAR;5
CODGEO;Code géographique;Code géographique;13209;Eyguières;CHAR;5
CODGEO;Code géographique;Code géographique;13210;Port-Saint-Louis-du-Rhône;CHAR;5
CODGEO;Code géographique;Code géographique;13211;La Fare-les-Oliviers;CHAR;5
CODGEO;Code géographique;Code géographique;13212;Lançon-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;13213;Peyrolles-en-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;13214;Lambesc;CHAR;5
CODGEO;Code géographique;Code géographique;13301;Cassis;CHAR;5
CODGEO;Code géographique;Code géographique;13302;Saint-Rémy-de-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;13303;Mallemort;CHAR;5
CODGEO;Code géographique;Code géographique;13304;Saint-Martin-de-Crau;CHAR;5
CODGEO;Code géographique;Code géographique;13305;Sausset-les-Pins-Carry-le-Rouet;CHAR;5
CODGEO;Code géographique;Code géographique;13501;Salon-de-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;14101;Potigny;CHAR;5
CODGEO;Code géographique;Code géographique;14102;Mathieu;CHAR;5
CODGEO;Code géographique;Code géographique;14103;Cairon;CHAR;5
CODGEO;Code géographique;Code géographique;14104;Dozulé;CHAR;5
CODGEO;Code géographique;Code géographique;14105;Louvigny;CHAR;5
CODGEO;Code géographique;Code géographique;14106;Orbec;CHAR;5
